zone_key,season,baseline_mean,baseline_std,baseline_median,n_years
debubawi,Kiremt,498.47433333333333,104.29944373453455,486.145,30
debubgondar,Belg,192.04033333333334,74.34015309342605,164.725,30
debubgondar,Kiremt,1074.1306666666667,122.62694573473597,1106.46,30
debubmirabshewa,Belg,227.22400000000002,65.2101102590695,221.62,30
debubmirabshewa,Kiremt,785.4403333333333,112.66693559224521,809.5999999999999,30
debubomo,Belg,376.07733333333334,83.83160542722385,374.735,30
debubomo,Kiremt,254.25966666666667,84.72430195206314,235.55,30
debubwollo,Belg,204.62466666666666,70.72609227997404,191.78,30
debubwollo,Kiremt,856.607,164.1730296668731,851.865,30
derashe,Belg,447.17766666666665,100.42418312556384,432.8,30
derashe,Kiremt,315.45466666666664,92.0767014873014,307.65999999999997,30
diredawa,Belg,251.59733333333332,78.43091416075649,236.115,30
diredawa,Kiremt,374.73333333333335,62.50571815681227,382.21000000000004,30
doolo,Belg,88.39366666666666,30.28839853957211,89.11500000000001,30
doolo,Kiremt,11.150333333333332,6.847164771078527,8.54,30
fafan,Belg,181.68266666666665,47.54416073746474,175.16,30
fafan,Kiremt,244.38733333333332,51.367085592807875,235.765,30
gamogofa,Belg,521.5513333333333,99.72206637599749,508.655,30
gamogofa,Kiremt,502.02166666666665,111.36129783612941,491.51,30
gedeo,Belg,568.8979999999999,100.2795321846508,550.1500000000001,30
gedeo,Kiremt,464.5426666666666,98.7857567889613,447.46500000000003,30
guji,Belg,459.834,96.70879654031407,444.6,30
guji,Kiremt,119.19466666666668,31.055882860255085,107.13,30
gurage,Belg,321.22,87.01293340251402,301.015,30
gurage,Kiremt,787.6393333333333,103.02746730959603,784.38,30
hadiya,Belg,379.70466666666664,78.4330432536121,371.0,30
hadiya,Kiremt,660.8913333333334,65.44277193213105,659.565,30
hareri,Belg,281.1136666666667,77.28076865128435,262.3,30
hareri,Kiremt,405.8056666666667,64.9134077688186,411.1,30
horoguduru,Belg,272.843,78.59269476229963,268.155,30
horoguduru,Kiremt,1053.8363333333334,127.05478431419434,1065.2350000000001,30
ilubabor,Belg,369.87,75.23165130861271,369.63,30
ilubabor,Kiremt,1060.0766666666666,82.54705309526585,1044.26,30
jarar,Belg,171.7423333333333,48.780387783399696,164.965,30
jarar,Kiremt,62.074333333333335,22.336755650463335,60.49,30
jimma,Belg,432.7273333333333,91.15127021390977,430.575,30
jimma,Kiremt,1139.0423333333333,101.62154932626878,1159.545,30
