region,year,belg_total_mm,belg_antecedent_anom_z
dire_dawa,2021,172.931,-0.5689
dire_dawa,2022,75.5162,-1.7898
dire_dawa,2023,432.5989,2.6855
gambela,1981,261.3525,0.2202
gambela,1982,239.445,-0.3152
gambela,1983,208.5763,-1.0696
gambela,1984,236.147,-0.3958
gambela,1985,323.6393,1.7425
gambela,1986,162.6062,-2.1932
gambela,1987,191.8469,-1.4785
gambela,1988,240.0536,-0.3003
gambela,1989,217.8058,-0.8441
gambela,1990,247.4806,-0.1188
gambela,1991,277.0646,0.6042
gambela,1992,210.5141,-1.0223
gambela,1993,221.0782,-0.7641
gambela,1994,224.8997,-0.6707
gambela,1995,229.7974,-0.551
gambela,1996,328.7652,1.8678
gambela,1997,248.872,-0.0848
gambela,1998,224.748,-0.6744
gambela,1999,202.5498,-1.2169
gambela,2000,241.1198,-0.2743
gambela,2001,219.1648,-0.8109
gambela,2002,200.8262,-1.2591
gambela,2003,246.6659,-0.1387
gambela,2004,243.7034,-0.2111
gambela,2005,213.9732,-0.9377
gambela,2006,221.4788,-0.7543
gambela,2007,273.4456,0.5158
gambela,2008,343.1889,2.2203
gambela,2009,226.7837,-0.6247
gambela,2010,211.9118,-0.9881
gambela,2011,250.27,-0.0507
gambela,2012,293.1346,0.997
gambela,2013,268.4992,0.3949
gambela,2014,344.503,2.2524
gambela,2015,282.4011,0.7346
gambela,2016,266.7598,0.3524
gambela,2017,262.3591,0.2448
gambela,2018,316.2999,1.5631
gambela,2019,212.1754,-0.9817
gambela,2020,263.3202,0.2683
gambela,2021,218.5668,-0.8255
gambela,2022,260.6014,0.2018
gambela,2023,263.0404,0.2615
harari,1981,353.2954,0.7423
harari,1982,324.2945,0.3935
harari,1983,355.2113,0.7654
harari,1984,273.675,-0.2153
harari,1985,406.66,1.3842
harari,1986,332.2988,0.4898
harari,1987,423.6135,1.5882
harari,1988,186.5542,-1.2633
harari,1989,271.9506,-0.2361
harari,1990,263.4424,-0.3384
harari,1991,253.6445,-0.4563
harari,1992,277.5229,-0.1691
harari,1993,311.062,0.2344
harari,1994,287.526,-0.0487
harari,1995,355.0978,0.764
harari,1996,512.2942,2.6548
harari,1997,296.8133,0.063
harari,1998,239.585,-0.6254
harari,1999,212.1615,-0.9552
harari,2000,205.1276,-1.0399
harari,2001,296.4701,0.0588
harari,2002,250.9923,-0.4882
harari,2003,187.8247,-1.248
harari,2004,212.632,-0.9496
harari,2005,381.1231,1.0771
harari,2006,336.7348,0.5432
harari,2007,350.4321,0.7079
harari,2008,243.1195,-0.5829
harari,2009,239.1079,-0.6311
harari,2010,525.2511,2.8107
harari,2011,250.1734,-0.498
harari,2012,266.5337,-0.3012
harari,2013,376.9646,1.027
harari,2014,319.8169,0.3397
harari,2015,204.5073,-1.0473
harari,2016,314.1504,0.2715
harari,2017,244.203,-0.5698
harari,2018,348.5161,0.6849
harari,2019,178.6516,-1.3583
harari,2020,269.3157,-0.2678
harari,2021,277.1631,-0.1734
harari,2022,110.5113,-2.1779
harari,2023,432.5563,1.6957
oromia,1981,443.2893,1.7155
oromia,1982,495.5381,2.3625
oromia,1983,477.1364,2.1346
oromia,1984,298.9614,-0.0718
oromia,1985,366.0263,0.7587
oromia,1986,429.8267,1.5488
oromia,1987,410.9035,1.3144
oromia,1988,225.2629,-0.9844
oromia,1989,317.7196,0.1605
oromia,1990,309.215,0.0552
oromia,1991,326.9021,0.2742
oromia,1992,254.0646,-0.6278
oromia,1993,328.9215,0.2992
oromia,1994,291.7882,-0.1606
oromia,1995,383.1575,0.9708
oromia,1996,357.5772,0.6541
oromia,1997,288.2415,-0.2045
oromia,1998,289.6803,-0.1867
oromia,1999,250.5992,-0.6707
oromia,2000,260.5837,-0.547
oromia,2001,342.8424,0.4716
oromia,2002,284.8556,-0.2465
oromia,2003,330.3291,0.3166
oromia,2004,259.4971,-0.5605
oromia,2005,411.2423,1.3186
oromia,2006,313.5396,0.1087
oromia,2007,255.1395,-0.6145
oromia,2008,165.2718,-1.7273
oromia,2009,176.0465,-1.5939
oromia,2010,452.0879,1.8244
oromia,2011,251.4378,-0.6603
oromia,2012,232.7035,-0.8923
oromia,2013,290.6525,-0.1747
oromia,2014,223.7839,-1.0027
oromia,2015,230.9813,-0.9136
oromia,2016,488.7889,2.2789
oromia,2017,309.9223,0.0639
oromia,2018,456.675,1.8812
oromia,2019,224.7691,-0.9905
oromia,2020,410.6819,1.3117
oromia,2021,215.6422,-1.1036
oromia,2022,136.5993,-2.0824
oromia,2023,439.1045,1.6636
sidama,1981,500.859,1.0718
sidama,1982,377.6305,-0.6408
sidama,1983,522.9723,1.3791
sidama,1984,275.6397,-2.0582
sidama,1985,463.3426,0.5504
sidama,1986,379.6395,-0.6129
sidama,1987,545.7917,1.6963
sidama,1988,309.4262,-1.5887
sidama,1989,348.6578,-1.0434
sidama,1990,449.0897,0.3523
sidama,1991,307.5322,-1.615
sidama,1992,383.9912,-0.5524
sidama,1993,418.1236,-0.078
sidama,1994,413.5461,-0.1416
sidama,1995,578.4855,2.1506
sidama,1996,504.5668,1.1233
sidama,1997,405.4964,-0.2535
sidama,1998,345.5993,-1.0859
sidama,1999,329.6514,-1.3076
